loc_rowid,pl_name,host_name,sy_star_count,sy_planet_count,disc_method,disc_year,disc_facility,disc_telescope,disc_instrument,facility_count,telescope_count,instrument_count,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,ttv_flag,st_temp_eff_k,st_temp_eff_k1,st_temp_eff_k2,st_radius,st_mass,st_metallicity,st_surf_gravity,rastr,ra,decstr,dec,sy_distance_pc,sy_vmag,sy_kmag,sy_gaiamag
4143,Kepler-80 b,Kepler-80,1,6,Transit,2012,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,7.05246,0.0648,2.67,0.238,6.93,0.0218,Mass,0,1,4540,100,-100,0.68,0.73,0.04,4.64,19h44m27.02s,296.1125759,+39d58m43.48s,39.9787451,369.451,15.23,12.253,14.7555
4144,Kepler-80 c,Kepler-80,1,6,Transit,2012,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,9.52355,0.0792,2.74,0.244,6.74,0.02121,Mass,0,1,4540,100,-100,0.68,0.73,0.04,4.64,19h44m27.02s,296.1125759,+39d58m43.48s,39.9787451,369.451,15.23,12.253,14.7555
4145,Kepler-80 d,Kepler-80,1,6,Transit,2014,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,3.07222,0.0372,1.53,0.136,6.75,0.02124,Mass,0,1,4540,100,-100,0.68,0.73,0.04,4.64,19h44m27.02s,296.1125759,+39d58m43.48s,39.9787451,369.451,15.23,12.253,14.7555
4146,Kepler-80 e,Kepler-80,1,6,Transit,2014,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,4.64489,0.0491,1.6,0.143,4.13,0.01299,Mass,0,1,4540,100,-100,0.68,0.73,0.04,4.64,19h44m27.02s,296.1125759,+39d58m43.48s,39.9787451,369.451,15.23,12.253,14.7555
4147,Kepler-80 f,Kepler-80,1,6,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,0.9867873,0.0175,1.21,0.108,1.92,0.00606,M-R relationship,0,0,4540,100,-100,0.68,0.73,0.04,4.64,19h44m27.02s,296.1125759,+39d58m43.48s,39.9787451,369.451,15.23,12.253,14.7555
4148,Kepler-80 g,Kepler-80,1,6,Transit,2017,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,14.64558,,1.13,0.101,1.51,0.00474,M-R relationship,,0,4540,100,-100,0.68,0.83,0.04,4.64,19h44m27.02s,296.1125759,+39d58m43.48s,39.9787451,369.451,15.23,12.253,14.7555
4149,Kepler-800 b,Kepler-800,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,14.13176026,0.1106,2.85,0.254,8.5,0.0267,M-R relationship,0,0,5315,60.48,-67.05,0.82,0.85,-0.09,4.55,19h06m17.94s,286.5747697,+44d47m42.67s,44.7951858,1019.26,15.92,13.916,15.7477
4150,Kepler-801 b,Kepler-801,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,11.41928253,0.0795,2,0.178,4.66,0.0147,M-R relationship,0,0,4435,45.95,-38.89,0.63,0.67,-0.17,4.66,19h04m18.04s,286.0751815,+44d39m52.66s,44.6646277,440.426,15.596,12.763,15.2759
4151,Kepler-802 b,Kepler-802,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,40.0587473,0.2265,3.54,0.316,12.3,0.0386,M-R relationship,0,0,5507,61.6,-67.23,0.9,0.93,0.06,4.5,19h04m03.79s,286.0157998,+45d00m27.87s,45.0077413,780.585,15.01,13.105,14.8111
4152,Kepler-803 b,Kepler-803,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,50.28638192,0.2678,3.79,0.338,13.8,0.0434,M-R relationship,0,0,5919,99.49,-100.93,1.12,1.05,0.02,4.36,19h56m53.20s,299.2216728,+44d41m38.05s,44.6939033,639.771,13.856,11.993,13.63
4153,Kepler-804 b,Kepler-804,1,2,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,14.37457351,0.1137,1.94,0.173,4.42,0.0139,M-R relationship,0,0,5817,93.12,-78.6,1.05,1.01,0,4.4,19h33m29.33s,293.3722109,+44d47m06.65s,44.7851812,649.65,13.864,12.246,13.7361
4154,Kepler-804 c,Kepler-804,1,2,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,9.65185017,0.0872,1.14,0.102,1.55,0.00489,M-R relationship,0,0,5817,93.12,-78.6,1.05,1.01,0,4.4,19h33m29.33s,293.3722109,+44d47m06.65s,44.7851812,649.65,13.864,12.246,13.7361
4155,Kepler-805 b,Kepler-805,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,30.8638931,0.1978,2.89,0.258,8.7,0.0274,M-R relationship,0,0,6112,55.03,-66.37,1.65,1.19,-0.06,4.08,19h32m55.20s,293.2300178,+45d03m12.11s,45.053364,638.49,12.586,11.2,12.5048
4156,Kepler-806 b,Kepler-806,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,8.09219642,0.0764,1.14,0.102,1.55,0.00489,M-R relationship,0,0,5770,59.8,-67.82,1.16,0.99,0,4.3,19h44m01.73s,296.0071956,+44d51m12.85s,44.8535698,361.896,11.813,10.128,11.5909
