DATE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D
DATE,OFF_AVG,RESI_AVG,HOT_AVG,NL_AVG,SC_AVG,MALL_AVG,HC_AVG,IND_AVG,SS_AVG,DC_AVG,ALL_AVG,OFF_AVG,RESI_AVG,HOT_AVG,NL_AVG,SC_AVG,MALL_AVG,HC_AVG,IND_AVG,SS_AVG,DC_AVG,ALL_AVG
MARKET CAPITALIZATION,,,,,,,,,,,,,,,,,,,,,,
DATE,OFF_AVG_CLOSE,RESI_AVG_CLOSE,HOT_AVG_CLOSE,NL_AVG_CLOSE,SC_AVG_CLOSE,MALL_AVG_CLOSE,HC_AVG_CLOSE,IND_AVG_CLOSE,SS_AVG_CLOSE,DC_AVG_CLOSE,ALL_AVG_CLOSE,OFF_AVG_RETURN_1D,RESI_AVG_RETURN_1D,HOT_AVG_RETURN_1D,NL_AVG_RETURN_1D,SC_AVG_RETURN_1D,MALL_AVG_RETURN_1D,HC_AVG_RETURN_1D,IND_AVG_RETURN_1D,SS_AVG_RETURN_1D,DC_AVG_RETURN_1D,ALL_AVG_RETURN_1D
2018-06-19 00:00:00,$38.17 ,$69.54 ,$70.70 ,$33.84 ,$31.69 ,$72.94 ,$31.84 ,$45.49 ,$55.36 ,$198.63 ,$64.82 ,(0.30%),(0.09%),(0.49%),(0.14%),(0.52%),0.29%,0.21%,(0.81%),0.12%,0.19%,(0.15%)
2018-06-20 00:00:00,$38.64 ,$70.21 ,$71.30 ,$34.26 ,$32.38 ,$73.90 ,$32.51 ,$45.81 ,$55.90 ,$202.03 ,$65.69 ,1.21%,0.96%,0.85%,1.23%,2.18%,1.33%,2.12%,0.71%,0.98%,1.71%,1.33%
2018-06-21 00:00:00,$38.60 ,$70.64 ,$71.76 ,$31.76 ,$33.06 ,$74.19 ,$32.70 ,$45.71 ,$56.63 ,$205.08 ,$66.01 ,(0.10%),0.62%,0.64%,(7.28%),2.08%,0.39%,0.59%,(0.21%),1.30%,1.51%,(0.05%)
2018-06-22 00:00:00,$38.99 ,$71.07 ,$73.12 ,$31.97 ,$33.74 ,$75.15 ,$32.92 ,$45.98 ,$56.62 ,$205.57 ,$66.51 ,1.02%,0.61%,1.90%,0.64%,2.07%,1.29%,0.66%,0.58%,(0.02%),0.24%,0.90%
2018-06-25 00:00:00,$38.89 ,$71.21 ,$72.73 ,$32.00 ,$33.61 ,$74.52 ,$33.03 ,$45.98 ,$56.87 ,$205.32 ,$66.42 ,(0.26%),0.19%,(0.53%),0.11%,(0.40%),(0.83%),0.34%,0.01%,0.44%,(0.12%),(0.11%)
2018-06-26 00:00:00,$38.82 ,$71.04 ,$72.48 ,$32.12 ,$33.46 ,$74.12 ,$33.02 ,$46.09 ,$57.48 ,$209.22 ,$66.79 ,(0.18%),(0.23%),(0.34%),0.39%,(0.43%),(0.55%),(0.03%),0.23%,1.08%,1.90%,0.18%
2018-06-27 00:00:00,$38.64 ,$70.59 ,$76.97 ,$32.11 ,$33.35 ,$73.52 ,$33.08 ,$46.01 ,$57.03 ,$208.33 ,$66.96 ,(0.46%),(0.65%),6.19%,(0.04%),(0.33%),(0.80%),0.16%,(0.16%),(0.79%),(0.43%),0.27%
2018-06-28 00:00:00,$39.05 ,$71.73 ,$78.32 ,$32.23 ,$33.51 ,$73.38 ,$33.92 ,$46.44 ,$57.25 ,$209.29 ,$67.51 ,1.06%,1.62%,1.75%,0.37%,0.48%,(0.19%),2.54%,0.92%,0.39%,0.46%,0.94%
2018-06-29 00:00:00,$39.20 ,$72.15 ,$79.95 ,$32.21 ,$33.44 ,$72.92 ,$34.00 ,$46.54 ,$57.13 ,$210.49 ,$67.80 ,0.36%,0.58%,2.09%,(0.06%),(0.20%),(0.64%),0.24%,0.22%,(0.22%),0.57%,0.30%
2018-06-30 00:00:00,$39.20 ,$72.15 ,$79.95 ,$32.21 ,$33.44 ,$72.92 ,$34.00 ,$46.54 ,$57.13 ,$210.49 ,$67.80 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
